5H.5H.LD5_CK2222_TbcLeafFlowSH,ZS,5K,LD5,CK2222,ZS_5K_LD5_CK2222,TT1InTbcLfFlow,5H,5H,5H.5H.LD5_CK2222_TbcLeafFlowSH,LD5_CK2222_TbcLeafFlowSH,YT6032_CK_FLOW_PV,DB602.REAL62,Float,5000叶丝线电子秤2222瞬时流量
5H.5H.LD5_TM2226A_InMois,ZS,5K,LD5,TM2226A,ZS_5K_LD5_TM2226A,InMois,5H,5H,5H.5H.LD5_TM2226A_InMois,LD5_TM2226A_InMois,K1_Z7ZF1B1Value_1,DB71.REAL352,Float,五千烘丝入口水分
6022.6022.LAC5_2143_FlowReal,ZS,5k,LAC5,2143,ZS_5k_LAC5_2143,FlowReal,6022,6022,6022.6022.LAC5_2143_FlowReal,LAC5_2143_FlowReal,YT6022_VALUE_CK2143_FLOW_CUR,VALUE[4],Float,控制秤CK2143实际流量
6022.6022.LAC5_SJ2147_OutMois_PV,ZS,5k,LAC5,SJ2147,ZS_5k_LAC5_SJ2147,OutMois_PV,6022,6022,6022.6022.LAC5_SJ2147_OutMois_PV,LAC5_SJ2147_OutMois_PV,YT6022_VALUE_SJ2147_P_CUR_3,VALUE[92],Float,加料机SJ2147出口水份
6022.6022.LAC5_SJ2147_OutputTemValue,ZS,5K,LAC5,SJ2147,ZS_5k_LAC5_SJ2147,OutputTemValue,6022,6022,6022.6022.LAC5_SJ2147_OutputTemValue,LAC5_SJ2147_OutputTemValue,YT6022_VALUE_SJ2147_P_CUR_2,VALUE[91],Float,加料机SJ2147出口温度
