datetime,5H.5H.LD5_CK2222_TbcLeafFlowSH,5H.5H.LD5_TM2226A_InMois,6022.6022.LAC5_2143_FlowReal,6022.6022.LAC5_SJ2147_OutMois_PV,6022.6022.LAC5_SJ2147_OutputTemValue
2020-05-28 05:26:00,0.0,0.0,0.0,0.2008056089642307,43.023658833333336
2020-05-28 05:28:00,0.0,0.0,0.0,-0.2206434451575,43.084910771666685
2020-05-28 05:30:00,0.0,0.0,0.0,-0.2843797512,42.999863242499984
2020-05-28 05:32:00,0.0,0.0,0.0,-0.27327953017499984,42.988193510833305
2020-05-28 05:34:00,0.0,0.0,0.0,0.5153896037829165,42.901964791666664
2020-05-28 05:36:00,0.0,0.0,1866.7380481666664,-0.26833019629833327,42.963055672500005
2020-05-28 05:38:00,0.0,0.0,5199.950020833331,-0.2667980288416667,42.95760787749999
2020-05-28 05:40:00,0.0,0.0,5199.906639999998,-0.272639488325,42.944215517499984
2020-05-28 05:42:00,0.0,0.0,5199.905830833333,-0.24597802654749992,42.933236758333344
2020-05-28 05:44:00,0.0,0.0,5199.934188333335,-0.29607502511666656,42.92509314333333
2020-05-28 05:46:00,0.0,0.0,5199.860835833331,-0.2350333984657082,42.91253599
2020-05-28 05:48:00,0.0,0.0,5199.860831666667,-0.24862376142166656,42.91600236833333
2020-05-28 05:50:00,0.0,0.0,5199.949190833331,-0.29314870870833337,42.91036307083333
2020-05-28 05:52:00,0.0,0.0,5199.888334166668,-0.24779489762166665,42.914855352500005
2020-05-28 05:54:00,0.0,0.0,5199.869156666665,2.4570659213274997,42.07646233249999
2020-05-28 05:56:00,0.0,0.0,5199.954183333333,21.227026616666667,39.36217800583331
2020-05-28 05:58:00,0.0,0.0,5199.900008333334,4.582446133944,42.065975382500014
2020-05-28 06:00:00,0.0,0.0,5199.899149166666,0.007590366011749934,42.921024609166665
2020-05-28 06:02:00,0.0,0.0,5199.845816666664,6.515305779126665,41.70694948666667
2020-05-28 06:04:00,0.0,0.0,5199.871684166671,19.192399824166667,40.982119405000006
2020-05-28 06:06:00,0.0,0.0,5199.897518333334,4.587541776800836,42.570350488333325
2020-05-28 06:08:00,0.0,0.0,5199.9983066666655,-0.3202121745916667,42.94821907583335
2020-05-28 06:10:00,0.0,0.0,216.67416999999998,-0.3232232056750001,42.96122277749998
2020-05-28 06:12:00,0.0,0.0,0.0,-0.29805944253333333,42.980600260833334
2020-05-28 06:14:00,0.0,0.0,0.0,-0.31700655472499994,42.99573500999997
2020-05-28 06:16:00,0.0,0.0,0.0,-0.2965838645916668,43.0151857666667
2020-05-28 06:18:00,0.0,0.0,0.0,-0.31846995369491515,43.01959150508473
2020-05-28 06:20:00,0.0,0.0,0.0,0.0,0.0
2020-05-28 06:22:00,0.0,0.0,0.0,0.0,0.0
2020-05-28 06:24:00,0.0,0.0,0.0,0.0,0.0
2020-05-28 06:26:00,0.0,0.0,0.0,0.0,0.0
