时间,送风湿度,送风温度,TAT7205-1T,TAT7205-1H,TAT7205-2T,TAT7205-2H,TAT7205-3T,TAT7205-3H,TAT7205-4T,TAT7205-4H,TAT7205-5T,TAT7205-5H,回风湿度,新风温度,新风湿度,室外温度,室外湿度,回风温度,Avg_T,Avg_H,0小时后_温度℃,0小时后_相对湿度%,1小时后_温度℃,1小时后_相对湿度%,2小时后_温度℃,2小时后_相对湿度%,3小时后_温度℃,3小时后_相对湿度%,4小时后_温度℃,4小时后_相对湿度%,生产计划Δt
2020-03-23 00:22:46,64.20717620849611,26.875,30.028938293457,25.3472213745117,30.1157417297363,29.2824058532715,29.8842582702637,23.292823791503896,29.7395858764648,24.4212970733643,30.1157417297363,27.5462951660156,62.355319976806605,24.5891189575195,50.4050903320313,10.353010177612301,29.1377296447754,25.5729141235352,29.976853179931613,25.978008651733408,7.5,35,6.9,39,7.3,36,7.4,39,7.6,40,39434
2020-03-30 02:56:46,60.15625,24.3287048339844,28.2349548339844,25.2893505096436,28.3506965637207,30.381944656372102,27.945602416992198,24.594907760620103,27.800926208496104,25.028934478759798,28.3506965637207,27.8356494903564,54.3692092895508,21.087963104248,43.6631965637207,7.187501907348629,59.20138626098632,22.216434478759798,28.136575317382817,26.6261573791504,4.2,62,3.8,65,3.8,66,3.8,68,4.8,67,17954
2020-04-06 23:08:46,26.1863441467285,24.53125,28.148147583007802,21.961805343627898,28.2349548339844,25.3761558532715,27.8587951660156,23.177082061767603,27.7430534362793,23.697917938232397,28.0902786254883,25.057870864868196,22.019676208496104,23.8657417297363,21.875,12.508681488037126,55.35590362548832,25.3993034362793,28.01504592895508,23.854166412353514,10.3,58,10.0,64,10.1,61,10.0,60,9.7,57,36254
2020-04-20 00:32:46,59.0277786254883,26.4409713745117,30.2025489807129,33.130786895752,30.3472213745117,41.059028625488295,30.0578689575195,33.5648155212402,29.9131965637207,34.0277786254883,30.260417938232397,37.4710655212402,43.1134262084961,18.599536895752,43.6053237915039,10.917247772216788,82.75462722778316,26.122684478759798,30.156250762939443,35.850695037841795,8.4,98,10.0,99,10.2,98,10.0,98,10.1,98,28934
2020-04-26 23:46:46,44.560184478759794,25.5439796447754,30.405090332031303,24.4212970733643,30.376159667968803,30.5844898223877,30.0868072509766,23.4375,30.0578689575195,24.0451393127441,30.376159667968803,27.5173606872559,22.569444656372102,22.2453689575195,15.538194656372099,12.118056488037084,32.94560089111325,28.2349548339844,30.260417175293004,26.0011573791504,9.9,34,8.9,38,8.6,41,9.6,37,8.6,42,28994
2020-05-05 06:26:33,33.5648155212402,24.1840286254883,27.019676208496104,28.211805343627898,26.903934478759798,32.8125,26.3541641235352,30.526620864868196,26.3541641235352,30.410879135131804,26.7013893127441,31.25,27.806715011596697,24.0104141235352,22.337963104248,14.305557250976529,49.36342697143553,25.3125,26.666665649414078,30.642361068725577,12.1,56,10.8,71,10.2,86,10.9,86,13.1,84,15987
2020-05-11 02:54:33,62.2395820617676,29.189815521240202,30.6944427490234,43.8078689575195,30.810188293457,48.061344146728494,30.6076393127441,43.6053237915039,30.376159667968803,44.733795166015604,30.6944427490234,47.858795166015604,47.8009262084961,29.3923606872559,40.0752296447754,17.853007888793954,75.82175903320315,28.6689796447754,30.636574554443346,45.61342544555662,15.1,93,14.6,94,16.1,81,16.1,79,17.8,72,21927
2020-05-18 02:48:33,68.14235687255861,28.5243034362793,31.5625,46.556713104248,31.7071800231934,50.2604179382324,31.3888893127441,45.3125,31.2152786254883,47.2222213745117,31.6203689575195,51.0416679382324,48.8715286254883,27.8877296447754,50.636569976806605,15.358793640136707,79.90740051269535,28.755786895752,31.49884338378906,48.0787040710449,14.0,88,14.5,83,15.3,75,14.8,85,15.6,80,22167
