,加热蒸汽阀调节输出,加湿蒸汽阀调节输出,加权平均湿度,加权平均温度,蒸汽压力,表冷进水压力,表冷器进水温度,表冷器出水温度,表冷阀开度设定,FT7205-1加热蒸汽流量瞬时值,FQ7205-1加热蒸汽流量累积值,FT7205-2加湿蒸汽流量瞬时值,FQ7205-2加湿蒸汽流量累积值,FT7205-3冷冻水流量瞬时值,FQ7205-3冷冻水流量累积值
count,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0,28568.0
mean,6.496674600952114,25.964610753290394,64.60693689929575,29.970652776751255,0.3319124230429018,0.11748158180471929,13.623659141956342,10.670203027722549,10.62255128347135,0.005110834774520675,0.45387621239154385,0.012102465534951964,5.127184573504165,8.795385698149165,217952.0903283394
std,13.446301105138092,26.006458521175333,7.719392985872849,0.8697507348794071,0.08861262177953683,0.035512212296470676,4.671765713067065,1.813353016523721,21.387142482671123,0.04064971049208243,0.5821313809959177,0.03286329857146622,2.5476051886967577,31.178414755885363,725652.7690733813
min,0.0,0.0,43.9525451660156,28.1409149169922,0.0,0.0,10.821759223938,6.91550874710083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,57.93366527557377,29.3706588745117,0.347222208976746,0.0870949104428291,11.5740737915039,9.95370388031006,0.578703701496124,0.0,1.53635828610277e-05,0.0,3.051461338996885,0.0,0.0
50%,0.0,23.0,68.4100112915039,29.9421310424805,0.356192141771317,0.114004626870155,12.0949077606201,10.8506946563721,3.67476868629456,0.0,0.515554070472717,0.0,6.36607456207275,0.0,0.0
75%,10.0,50.0,69.6759262084961,30.4701957702637,0.360821753740311,0.14322917163372,12.847222328186,11.3136577606201,8.33333396911621,0.0,0.757944703102112,0.0,7.248129963874818,0.0,0.0
max,100.0,100.0,75.5135955810547,33.2769088745117,0.370659708976746,0.202835649251938,33.275463104248,18.2291679382324,97.8877334594727,0.781866490840912,2.43124938011169,0.23156401515007,7.78714513778687,218.673645019531,2637930.0
