,九千RCC入口水分实际值,九千RCC入口烟叶流量,九千RCC入口烟叶流量累计值,九千加料出口水分实际值,九千加料出口温度实际值,九千加料烟叶流量实际值,九千加料烟叶流量累计值,五千加料出口温度实际值,五千加料烟叶流量实际值,五千加料烟叶流量累计值,五千烘丝入口水分实际值,五千烘丝入口烟叶流量,五千烘丝入口烟叶流量累计值
count,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0,95040.0
mean,5.68789607334978,2603.0650625043554,1688.520422979798,5.186252147733335,16.006321576460827,2271.47085327332,775.9118687769006,21.343381526137943,1320.0916064594735,774.2898803250541,4.184937469373235,964.695191106468,722.3230879783848
std,8.322800479248126,4236.038475493261,3053.5741141218946,8.89378823549355,22.40947318480444,4001.252673939007,1546.3737704494038,24.285168486730498,2226.1099816000387,1584.6537424921858,7.794408783560204,1932.0012233640919,1538.653155972243
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.66544342,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,18.34900007,8999.0,2320.0,11.1610813225,44.3935835375,702.88101615,390.025001525,50.0938528025,4475.02307575,489.17066955,2.5992123544999997,0.0,0.0
max,22.68500004,9903.7,11115.0,24.33002145,55.43799992,11848.60742,6916.100098000001,57.72257996,5241.612061,9051.47168,22.37659397,5303.3650880000005,6217.700195
