BatchId,EntryId,PartNo,PartName,TechId,TechName,ShiftId,ShiftName,TeamId,TeamName,EntryStartTime,EntryEndTime,TAGNAME,TAGDESCRIPTION,VALUE,MYTIME
1911THJ###024,1911THJ###024_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/13 22:50,2019/11/13 23:30,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.11960926,31:05.0
1911THJ###024,1911THJ###024_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/13 22:50,2019/11/13 23:30,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,7.30713453,31:01.0
1911THJ###024,1911THJ###024_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/13 23:41,2019/11/14 0:20,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,173.8048888,21:20.0
1911THJ###024,1911THJ###024_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/13 23:41,2019/11/14 0:20,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.17311968,21:23.0
1911TG####022,1911TG####022_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/13 23:37,2019/11/14 0:34,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,66.55046882,35:03.0
1911TG####022,1911TG####022_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/13 23:37,2019/11/14 0:34,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.14137507,35:06.0
1911THJ###025,1911THJ###025_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 0:36,2019/11/14 1:17,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,141.3189793,17:54.0
1911THJ###025,1911THJ###025_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 0:36,2019/11/14 1:17,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.10609716,18:33.0
1911TH####021,1911TH####021_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 1:01,2019/11/14 2:04,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,107.9043233,04:51.0
1911TH####021,1911TH####021_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 1:01,2019/11/14 2:04,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.13851901,04:47.0
1911THJ###025,1911THJ###025_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 1:36,2019/11/14 2:06,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.16228425,07:10.0
1911THJ###025,1911THJ###025_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 1:36,2019/11/14 2:06,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,233.6004018,07:05.0
1911THJ###026,1911THJ###026_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 2:44,2019/11/14 3:22,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.1192438,22:25.0
1911THJ###026,1911THJ###026_YP9A,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 2:44,2019/11/14 3:22,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,8.52717342,22:21.0
1911TH####022,1911TH####022_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 2:31,2019/11/14 3:34,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.14509001,34:44.0
1911TH####022,1911TH####022_YP5A,451211000,泰山(宏图)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 2:31,2019/11/14 3:34,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,5.21334991,34:40.0
1911TG####023,1911TG####023_YP5B,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 3:48,2019/11/14 4:39,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.13417093,40:04.0
1911TG####023,1911TG####023_YP5B,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 3:48,2019/11/14 4:39,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,5.34847059,40:01.0
1911TG####024,1911TG####024_YP5B,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 4:53,2019/11/14 5:48,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,5.48787261,48:44.0
1911TG####024,1911TG####024_YP5B,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,3,晚班,2,乙班,2019/11/14 4:53,2019/11/14 5:48,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.14171798,48:47.0
1911THJ###026,1911THJ###026_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 5:49,2019/11/14 6:28,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,240.1108549,29:06.0
1911THJ###026,1911THJ###026_YP9B,451217000,泰山(红将军)烟丝,LAC,叶片加料-9K,3,晚班,2,乙班,2019/11/14 5:49,2019/11/14 6:28,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.19115481,29:09.0
1911HCc###018,1911HCc###018_YP9A,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 6:37,2019/11/14 7:16,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,291.6584265,16:30.0
1911HCc###018,1911HCc###018_YP9A,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 6:37,2019/11/14 7:16,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.10456273,16:33.0
1911TG####023,1911TG####023_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 6:32,2019/11/14 7:40,T_LAC5_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.13545127,40:33.0
1911TG####023,1911TG####023_YP5A,451212000,泰山(华贵)烟丝,LAC5,叶片加料-5K,1,早班,3,丙班,2019/11/14 6:32,2019/11/14 7:40,T_LAC5_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,48.55066266,40:30.0
1911HCc###018,1911HCc###018_YP9B,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 7:23,2019/11/14 8:01,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.08780294,02:01.0
1911HCc###018,1911HCc###018_YP9B,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 7:23,2019/11/14 8:01,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,202.5768323,01:59.0
1911HCc###019,1911HCc###019_YP9A,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 8:10,2019/11/14 8:48,T_LAC9_ADD_CstLiqdFlowStdDv,润叶加料料液流量标准偏差,0.08694017,49:19.0
1911HCc###019,1911HCc###019_YP9A,451101005,哈德门(纯香)烟丝,LAC,叶片加料-9K,1,早班,3,丙班,2019/11/14 8:10,2019/11/14 8:48,T_LAC9_BEL_TbcLeafFlowStdDv,润叶加料烟叶流量标准偏差,112.5580647,49:16.0
