"KZS5\加权平均湿度 Time;""KZS5\加权平均湿度 ValueY"""
2019/12/31 4:24:58;63.3159713745117
2019/12/31 4:26:58;63.8599472045898
2019/12/31 4:28:58;63.912036895752
2019/12/31 4:30:58;64.0509262084961
2019/12/31 4:32:58;64.0219879150391
2019/12/31 4:34:58;64.4328765869141
2019/12/31 4:36:58;64.3865737915039
2019/12/31 4:38:58;64.3402862548828
2019/12/31 4:40:58;64.4965286254883
2019/12/31 4:42:58;64.2129592895508
2019/12/31 4:44:58;64.3113403320313
2019/12/31 4:46:58;64.8263854980469
2019/12/31 4:48:58;64.6875
2019/12/31 4:50:58;64.7164306640625
2019/12/31 4:52:58;64.7106475830078
2019/12/31 4:54:58;64.8032379150391
2019/12/31 4:56:58;64.9942169189453
2019/12/31 4:58:58;64.9884185791016
2019/12/31 5:00:58;64.7164306640625
2019/12/31 5:02:58;65.0925903320313
2019/12/31 5:04:58;65.2141265869141
2019/12/31 5:06:58;65.4050903320313
2019/12/31 5:08:58;65.3935165405273
2019/12/31 5:10:58;65.6713027954102
2019/12/31 5:12:58;65.6018524169922
2019/12/31 5:14:58;65.5324020385742
2019/12/31 5:16:58;65.6365737915039
2019/12/31 5:18:58;65.5729217529297
2019/12/31 5:20:58;65.4398193359375
2019/12/31 5:22:58;65.6828765869141
2019/12/31 5:24:58;65.6944427490234
2019/12/31 5:26:58;65.6655120849609
2019/12/31 5:28:58;65.7233734130859
2019/12/31 5:30:58;65.8622665405273
2019/12/31 5:32:58;66.0821762084961
2019/12/31 5:34:58;65.9838027954102
2019/12/31 5:36:58;65.9085693359375
2019/12/31 5:38:58;66.1979217529297
2019/12/31 5:40:58;66.2963027954102
2019/12/31 5:42:58;66.1921234130859
2019/12/31 5:44:58;66.3715286254883
2019/12/31 5:46:58;66.2731475830078
2019/12/31 5:48:58;66.2905120849609
2019/12/31 5:50:58;66.4178237915039
2019/12/31 5:52:58;66.3888931274414
2019/12/31 5:54:58;66.5046234130859
2019/12/31 5:56:58;66.4756927490234
2019/12/31 5:58:58;66.7534713745117
2019/12/31 6:00:58;66.7824096679688
2019/12/31 6:02:58;66.7939834594727
2019/12/31 6:04:58;66.8634262084961
2019/12/31 6:06:58;67.0486068725586
2019/12/31 6:08:58;67.1585693359375
2019/12/31 6:10:58;67.1122665405273
2019/12/31 6:12:58;67.1006927490234
2019/12/31 6:14:58;67.1469879150391
2019/12/31 6:16:58;67.1064834594727
2019/12/31 6:18:58;67.2222213745117
2019/12/31 6:20:58;67.1932830810547
2019/12/31 6:22:58;67.4305572509766
2019/12/31 6:24:58;67.5810165405273
2019/12/31 6:26:58;67.7199096679688
2019/12/31 6:28:58;67.6678314208984
2019/12/31 6:30:58;67.6215286254883
2019/12/31 6:32:58;67.9745330810547
2019/12/31 6:34:58;67.9571762084961
2019/12/31 6:36:58;67.8645782470703
2019/12/31 6:38:58;67.5868072509766
2019/12/31 6:40:58;67.4710693359375
2019/12/31 6:42:58;67.3379669189453
2019/12/31 6:44:58;67.4016265869141
2019/12/31 6:46:58;67.5752334594727
2019/12/31 6:48:58;67.8993072509766
2019/12/31 6:50:58;68.5069427490234
2019/12/31 6:52:58;68.7036972045898
2019/12/31 6:54:58;69.0393524169922
2019/12/31 6:56:58;69.3692169189453
2019/12/31 6:58:58;69.7395782470703
2019/12/31 7:00:58;69.9942169189453
2019/12/31 7:02:58;70.2546310424805
2019/12/31 7:04:58;70.2372741699219
2019/12/31 7:06:58;70.1504669189453
2019/12/31 7:08:58;70.0636596679688
2019/12/31 7:10:58;70.2025451660156
2019/12/31 7:12:58;70.0983810424805
2019/12/31 7:14:58;70.1446762084961
2019/12/31 7:16:58;70.0520782470703
2019/12/31 7:18:58;70.2256927490234
2019/12/31 7:20:58;70.2662048339844
2019/12/31 7:22:58;70.283561706543
2019/12/31 7:24:58;70.4050903320313
2019/12/31 7:26:58;70.4340362548828
2019/12/31 7:28:58;70.4340209960938
2019/12/31 7:30:58;70.2430572509766
2019/12/31 7:32:58;70.3182830810547
2019/12/31 7:34:58;70.3240737915039
2019/12/31 7:36:58;70.4861145019531
2019/12/31 7:38:58;70.5902862548828
2019/12/31 7:40:58;70.6597137451172
2019/12/31 7:42:58;70.8043975830078
2019/12/31 7:44:58;70.8043975830078
2019/12/31 7:46:58;70.8506927490234
2019/12/31 7:48:58;70.9317169189453
2019/12/31 7:50:58;71.035888671875
2019/12/31 7:52:58;70.9664306640625
2019/12/31 7:54:58;70.9201354980469
2019/12/31 7:56:58;70.9895782470703
2019/12/31 7:58:58;70.839111328125
2019/12/31 8:00:58;70.6886596679688
2019/12/31 8:02:58;70.5381927490234
2019/12/31 8:04:58;70.5902709960938
2019/12/31 8:06:58;70.5787048339844
2019/12/31 8:08:58;70.5034713745117
2019/12/31 8:10:58;70.4224624633789
2019/12/31 8:12:58;70.3587951660156
2019/12/31 8:14:58;70.3645858764648
2019/12/31 8:16:58;70.341438293457
2019/12/31 8:18:58;70.3067169189453
2019/12/31 8:20:58;70.2951431274414
2019/12/31 8:22:58;70.3761596679688
2019/12/31 8:24:58;70.3819427490234
2019/12/31 8:26:58;70.3530120849609
2019/12/31 8:28:58;70.3356552124023
2019/12/31 8:30:58;70.3298645019531
2019/12/31 8:32:58;70.3530120849609
2019/12/31 8:34:58;70.3645782470703
2019/12/31 8:36:58;70.3645858764648
2019/12/31 8:38:58;70.4571762084961
2019/12/31 8:40:58;70.5150375366211
2019/12/31 8:42:58;70.6423568725586
2019/12/31 8:44:58;70.6770858764648
2019/12/31 8:46:58;70.6481475830078
2019/12/31 8:48:58;70.6770858764648
2019/12/31 8:50:58;70.7060165405273
2019/12/31 8:52:58;70.6944427490234
2019/12/31 8:54:58;70.7349548339844
2019/12/31 8:56:58;70.7928237915039
2019/12/31 8:58:58;70.752311706543
2019/12/31 9:00:58;70.8969879150391
2019/12/31 9:02:58;70.9201431274414
2019/12/31 9:04:58;70.9722290039063
2019/12/31 9:06:58;71.0474472045898
2019/12/31 9:08:58;71.0995330810547
2019/12/31 9:10:58;71.1284713745117
2019/12/31 9:12:58;71.1168975830078
2019/12/31 9:14:58;71.2557830810547
2019/12/31 9:16:58;71.1574096679688
2019/12/31 9:18:58;70.9895858764648
2019/12/31 9:20:58;70.6944427490234
2019/12/31 9:22:58;70.46875
2019/12/31 9:24:58;70.2314834594727
2019/12/31 9:26:58;70.0810165405273
2019/12/31 9:28:58;69.8842544555664
2019/12/31 9:30:58;69.6412048339844
2019/12/31 9:32:58;69.6354141235352
2019/12/31 9:34:58;69.5138931274414
2019/12/31 9:36:58;69.3923568725586
2019/12/31 9:38:58;69.2824096679688
2019/12/31 9:40:58;69.2129669189453
2019/12/31 9:42:58;69.0682830810547
2019/12/31 9:44:58;69.0046234130859
2019/12/31 9:46:58;68.8252334594727
2019/12/31 9:48:58;68.7962951660156
2019/12/31 9:50:58;68.6805572509766
2019/12/31 9:52:58;68.6805572509766
2019/12/31 9:54:58;68.6921234130859
2019/12/31 9:56:58;68.6458282470703
2019/12/31 9:58:58;68.6168975830078
2019/12/31 10:00:58;68.6689834594727
2019/12/31 10:02:58;68.5821762084961
2019/12/31 10:04:58;68.5474624633789
2019/12/31 10:06:58;68.4895782470703
2019/12/31 10:08:58;68.5243072509766
2019/12/31 10:10:58;68.4837951660156
2019/12/31 10:12:58;68.5011520385742
2019/12/31 10:14:58;68.5358734130859
2019/12/31 10:16:58;68.4259262084961
2019/12/31 10:18:58;68.5069427490234
2019/12/31 10:20:58;68.5300903320313
2019/12/31 10:22:58;68.6631927490234
2019/12/31 10:24:58;68.8136596679688
2019/12/31 10:26:58;68.8252334594727
2019/12/31 10:28:58;68.8657379150391
2019/12/31 10:30:58;68.9872665405273
2019/12/31 10:32:58;68.9930572509766
2019/12/31 10:34:58;69.1493072509766
2019/12/31 10:36:58;69.1724548339844
2019/12/31 10:38:58;69.3634262084961
2019/12/31 10:40:58;69.3692169189453
2019/12/31 10:42:58;69.4386596679688
2019/12/31 10:44:58;69.5428237915039
2019/12/31 10:46:58;69.5543975830078
2019/12/31 10:48:58;69.5891265869141
2019/12/31 10:50:58;69.6354141235352
2019/12/31 10:52:58;69.560188293457
2019/12/31 10:54:58;69.6064834594727
2019/12/31 10:56:58;69.6585693359375
2019/12/31 10:58:58;69.6701431274414
2019/12/31 11:00:58;69.6759262084961
2019/12/31 11:02:58;69.7743072509766
2019/12/31 11:04:58;69.8379669189453
2019/12/31 11:06:58;69.8900527954102
2019/12/31 11:08:58;69.9016265869141
2019/12/31 11:10:58;69.9768524169922
2019/12/31 11:12:58;70.0057830810547
2019/12/31 11:14:58;70.1041641235352
2019/12/31 11:16:58;70.1215362548828
2019/12/31 11:18:58;70.1099548339844
2019/12/31 11:20:58;70.0983734130859
2019/12/31 11:22:58;70.2430572509766
