"KZS5\加权平均温度 Time;""KZS5\加权平均温度 ValueY"""
2019/12/31 4:26:58;29.4444465637207
2019/12/31 4:28:58;29.4675941467285
2019/12/31 4:30:58;29.4849548339844
2019/12/31 4:32:58;29.5023136138916
2019/12/31 4:34:58;29.5196743011475
2019/12/31 4:36:58;29.5486106872559
2019/12/31 4:38:58;29.571756362915
2019/12/31 4:40:58;29.606481552124
2019/12/31 4:42:58;29.606481552124
2019/12/31 4:44:58;29.6354179382324
2019/12/31 4:46:58;29.6701412200928
2019/12/31 4:48:58;29.6875
2019/12/31 4:50:58;29.7164344787598
2019/12/31 4:52:58;29.7337951660156
2019/12/31 4:54:58;29.7569427490234
2019/12/31 4:56:58;29.7800941467285
2019/12/31 4:58:58;29.7974548339844
2019/12/31 5:00:58;29.8205986022949
2019/12/31 5:02:58;29.8148136138916
2019/12/31 5:04:58;29.8321743011475
2019/12/31 5:06:58;29.837963104248
2019/12/31 5:08:58;29.849536895752
2019/12/31 5:10:58;29.84375
2019/12/31 5:12:58;29.8321781158447
2019/12/31 5:14:58;29.8206024169922
2019/12/31 5:16:58;29.8090267181396
2019/12/31 5:18:58;29.8032417297363
2019/12/31 5:20:58;29.8032417297363
2019/12/31 5:22:58;29.8032417297363
2019/12/31 5:24:58;29.8090305328369
2019/12/31 5:26:58;29.7858791351318
2019/12/31 5:28:58;29.7858829498291
2019/12/31 5:30:58;29.7743072509766
2019/12/31 5:32:58;29.768518447876
2019/12/31 5:34:58;29.762731552124
2019/12/31 5:36:58;29.7743072509766
2019/12/31 5:38:58;29.762731552124
2019/12/31 5:40:58;29.762731552124
2019/12/31 5:42:58;29.762731552124
2019/12/31 5:44:58;29.7395877838135
2019/12/31 5:46:58;29.7453708648682
2019/12/31 5:48:58;29.7337951660156
2019/12/31 5:50:58;29.7337989807129
2019/12/31 5:52:58;29.7106475830078
2019/12/31 5:54:58;29.7106513977051
2019/12/31 5:56:58;29.7106513977051
2019/12/31 5:58:58;29.7106513977051
2019/12/31 6:00:58;29.693286895752
2019/12/31 6:02:58;29.6990756988525
2019/12/31 6:04:58;29.6759281158447
2019/12/31 6:06:58;29.6932888031006
2019/12/31 6:08:58;29.6759281158447
2019/12/31 6:10:58;29.681713104248
2019/12/31 6:12:58;29.6701412200928
2019/12/31 6:14:58;29.6759281158447
2019/12/31 6:16:58;29.6643524169922
2019/12/31 6:18:58;29.6701412200928
2019/12/31 6:20:58;29.6643524169922
2019/12/31 6:22:58;29.6643524169922
2019/12/31 6:24:58;29.6585655212402
2019/12/31 6:26:58;29.6585655212402
2019/12/31 6:28:58;29.6585655212402
2019/12/31 6:30:58;29.6412048339844
2019/12/31 6:32:58;29.6296329498291
2019/12/31 6:34:58;29.6238441467285
2019/12/31 6:36:58;29.6296291351318
2019/12/31 6:38:58;29.6412048339844
2019/12/31 6:40:58;29.6180572509766
2019/12/31 6:42:58;29.6180572509766
2019/12/31 6:44:58;29.6180572509766
2019/12/31 6:46:58;29.606481552124
2019/12/31 6:48:58;29.6064853668213
2019/12/31 6:50:58;29.5775489807129
2019/12/31 6:52:58;29.5775451660156
2019/12/31 6:54:58;29.5717582702637
2019/12/31 6:56:58;29.5833320617676
2019/12/31 6:58:58;29.5891227722168
2019/12/31 7:00:58;29.5949058532715
2019/12/31 7:02:58;29.5891208648682
2019/12/31 7:04:58;29.6006927490234
2019/12/31 7:06:58;29.5949058532715
2019/12/31 7:08:58;29.5949058532715
2019/12/31 7:10:58;29.5949058532715
2019/12/31 7:12:58;29.5891208648682
2019/12/31 7:14:58;29.5891208648682
2019/12/31 7:16:58;29.5833339691162
2019/12/31 7:18:58;29.5775489807129
2019/12/31 7:20:58;29.5543975830078
2019/12/31 7:22:58;29.5717582702637
2019/12/31 7:24:58;29.5543975830078
2019/12/31 7:26:58;29.5543975830078
2019/12/31 7:28:58;29.5543975830078
2019/12/31 7:30:58;29.5486106872559
2019/12/31 7:32:58;29.5486106872559
2019/12/31 7:34:58;29.5486106872559
2019/12/31 7:36:58;29.5543975830078
2019/12/31 7:38:58;29.5486106872559
2019/12/31 7:40:58;29.5486106872559
2019/12/31 7:42:58;29.5659732818604
2019/12/31 7:44:58;29.5659732818604
2019/12/31 7:46:58;29.5544013977051
2019/12/31 7:48:58;29.5601863861084
2019/12/31 7:50:58;29.5601863861084
2019/12/31 7:52:58;29.5601863861084
2019/12/31 7:54:58;29.5659732818604
2019/12/31 7:56:58;29.5601863861084
2019/12/31 7:58:58;29.5659732818604
2019/12/31 8:00:58;29.5601863861084
2019/12/31 8:02:58;29.5659732818604
2019/12/31 8:04:58;29.5543975830078
2019/12/31 8:06:58;29.5486106872559
2019/12/31 8:08:58;29.5543975830078
2019/12/31 8:10:58;29.5486106872559
2019/12/31 8:12:58;29.5428218841553
2019/12/31 8:14:58;29.5486106872559
2019/12/31 8:16:58;29.5428218841553
2019/12/31 8:18:58;29.537036895752
2019/12/31 8:20:58;29.5428256988525
2019/12/31 8:22:58;29.537036895752
2019/12/31 8:24:58;29.5486106872559
2019/12/31 8:26:58;29.5370388031006
2019/12/31 8:28:58;29.525463104248
