时间,送风湿度,送风温度,回风湿度,新风温度,新风湿度,室外温度,室外湿度,回风温度,Avg_T,Avg_H,0小时后_温度℃,0小时后_相对湿度%,1小时后_温度℃,1小时后_相对湿度%,2小时后_温度℃,2小时后_相对湿度%,3小时后_温度℃,3小时后_相对湿度%,4小时后_温度℃,4小时后_相对湿度%,生产计划Δt,Δt_true,Δt_predict
2020-03-30 02:56:46,60.15625,24.3287048339844,54.3692092895508,21.087963104248,43.6631965637207,7.187501907348629,59.20138626098632,22.216434478759798,28.136575317382817,26.6261573791504,4.2,62,3.8,65,3.8,66,3.8,68,4.8,67,17954,13320,15120.033786099388
2020-04-06 23:08:46,26.1863441467285,24.53125,22.019676208496104,23.8657417297363,21.875,12.508681488037126,55.35590362548832,25.3993034362793,28.01504592895508,23.854166412353514,10.3,58,10.0,64,10.1,61,10.0,60,9.7,57,36254,17880,19679.91266612046
2020-04-20 00:32:46,59.0277786254883,26.4409713745117,43.1134262084961,18.599536895752,43.6053237915039,10.917247772216788,82.75462722778316,26.122684478759798,30.156250762939443,35.850695037841795,8.4,98,10.0,99,10.2,98,10.0,98,10.1,98,28934,14280,14415.957991600491
2020-04-26 23:46:46,44.56018447875979,25.5439796447754,22.569444656372102,22.2453689575195,15.538194656372099,12.118056488037086,32.94560089111325,28.2349548339844,30.260417175293004,26.0011573791504,9.9,34,8.9,38,8.6,41,9.6,37,8.6,42,28994,20760,22559.83616929166
2020-05-05 06:26:33,33.5648155212402,24.1840286254883,27.806715011596694,24.0104141235352,22.337963104248,14.305557250976527,49.36342697143553,25.3125,26.666665649414078,30.642361068725577,12.1,56,10.8,71,10.2,86,10.9,86,13.1,84,15987,11040,12840.09434608885
2020-05-11 02:54:33,62.2395820617676,29.189815521240202,47.8009262084961,29.3923606872559,40.0752296447754,17.853007888793954,75.82175903320315,28.6689796447754,30.636574554443346,45.61342544555662,15.1,93,14.6,94,16.1,81,16.1,79,17.8,72,21927,9960,11760.123032399648
2020-05-18 02:48:33,68.14235687255861,28.5243034362793,48.8715286254883,27.8877296447754,50.63656997680661,15.358793640136707,79.90740051269535,28.755786895752,31.49884338378906,48.0787040710449,14.0,88,14.5,83,15.3,75,14.8,85,15.6,80,22167,6360,12089.510875257274
