进柜日期,进柜开始时间,进柜结束时间,产量kg,出柜日期,出柜开始时间,出柜结束时间
2020/5/15,0:45,2:25,6861,2020/5/16,11:15,14:15
2020/5/18,18:15,20:05,8971,2020/5/19,0:05,3:35
2020/5/18,19:00,20:55,8969,2020/5/19,3:45,7:10
2020/5/19,23:30,1:40,8985,2020/5/20,5:45,9:20
2020/5/20,2:15,3:55,6802,2020/5/20,14:50,17:15
2020/5/20,3:20,5:05,8955,2020/5/20,10:50,14:30
2020/5/20,5:25,7:10,8978,2020/5/21,16:50,21:40
2020/5/28,13:35,15:15,6779,2020/5/28,23:15,1:50
2020/5/28,16:20,18:00,6845,2020/5/29,5:35,8:30
2020/5/28,18:05,20:05,8915,2020/5/29,2:10,5:25
2020/5/28,20:15,22:15,8869,2020/5/29,8:40,14:55
2020/5/28,23:00,1:40,8922,2020/5/29,12:10,15:35
2020/6/1,18:00,19:40,8966,2020/6/2,1:00,4:35
2020/6/1,21:50,23:40,8963,2020/6/2,4:45,8:05
2020/6/2,1:30,3:20,8980,2020/6/2,8:30,11:50
2020/6/2,14:55,16:45,9020,2020/6/2,23:30,2:45
2020/6/3,5:25,7:15,8987,2020/6/4,6:45,10:15
2020/6/3,11:35,13:05,6783,2020/6/4,14:50,17:20
2020/6/3,13:20,15:10,8964,2020/6/4,10:45,14:30
2020/6/4,17:10,18:55,8975,2020/6/5,1:35,5:15
2020/6/5,11:30,13:20,9036,2020/6/5,21:50,1:10
2020/6/5,13:30,15:20,9007,2020/6/6,1:25,5:00
2020/6/5,15:40,16:40,4523,2020/6/6,7:05,8:50
2020/6/5,17:00,18:00,4603,2020/6/6,8:55,10:50
2020/6/5,21:25,22:55,6795,2020/6/6,11:05,13:35
2020/6/6,3:15,5:00,8965,2020/6/6,14:00,17:30
2020/6/9,0:10,2:00,8975,2020/6/9,6:20,9:45
2020/6/9,4:00,5:50,8954,2020/6/9,11:00,14:30
2020/6/9,14:45,16:30,8954,2020/6/9,22:05,1:15
2020/6/10,3:55,5:50,8936,2020/6/10,11:30,14:45
2020/6/11,13:05,14:50,8915,2020/6/11,18:55,22:35
2020/6/11,13:15,14:35,6771,2020/6/11,22:45,1:40
2020/6/12,13:45,15:30,8988,2020/6/12,21:35,0:40
2020/6/12,17:30,19:30,8929,2020/6/12,1:00,4:15
2020/6/12,21:00,23:00,8923,2020/6/13,4:25,7:45
2020/6/15,16:00,17:45,8969,2020/6/15,21:55,1:45
2020/6/16,9:00,10:50,8967,2020/6/16,16:50,20:10
2020/6/16,12:20,14:10,8950,2020/6/16,21:05,0:55
2020/6/16,2:35,4:15,6135,2020/6/17,12:15,14:25
2020/6/17,6:30,8:00,5049,2020/6/18,6:30,7:50
2020/6/18,10:30,12:30,8922,2020/6/18,16:30,20:00
2020/6/18,14:10,16:10,8895,2020/6/18,20:10,23:30
2020/6/18,19:10,20:50,6193,2020/6/19,4:50,7:45
2020/6/19,12:50,14:50,8878,2020/6/19,18:50,22:05
2020/6/19,20:25,22:00,8988,2020/6/20,4:50,8:15
2020/6/22,10:40,12:30,8914,2020/6/22,16:40,19:55
2020/6/23,14:10,16:10,8932,2020/6/24,1:35,5:05
2020/6/23,23:10,1:00,8915,2020/6/24,5:16,8:20
2020/6/29,20:35,22:25,8945,2020/6/30,5:00,8:40
2020/6/30,4:35,6:35,9036,2020/6/30,14:35,18:55
2020/6/30,6:40,8:30,8876,2020/6/30,19:15,22:40
2020/6/30,8:50,10:40,8894,2020/6/30,22:55,2:20
2020/6/30,12:40,14:10,4986,2020/7/1,4:15,5:25
2020/6/30,17:55,18:25,985,2020/7/1,8:50,9:15
2020/7/1,12:45,14:45,8954,2020/7/2,11:40,15:00
2020/7/2,9:10,10:50,8944,2020/7/2,15:10,19:30
2020/7/2,9:00,12:10,9718,2020/7/2,20:45,1:05
2020/7/2,13:00,16:00,9720,2020/7/3,1:05,5:00
2020/7/2,1:50,3:40,8925,2020/7/3,14:30,17:55
2020/7/3,8:50,12:10,9678,2020/7/3,20:15,23:55
2020/7/3,12:50,15:55,9681,2020/7/4,0:15,4:15
2020/7/3,16:40,18:10,4484,2020/7/4,4:45,6:35
2020/7/3,18:40,20:10,4455,2020/7/4,6:45,8:30
2020/7/6,9:30,12:40,9620,2020/7/6,20:40,0:10
2020/7/6,15:00,17:00,8953,2020/7/7,0:15,3:45
2020/7/7,5:30,7:20,9020,2020/7/7,11:25,14:45
2020/7/7,7:55,9:45,8952,2020/7/7,15:35,18:50
2020/7/7,12:55,14:25,6792,2020/7/8,0:05,2:50
2020/7/7,14:35,16:35,8898,2020/7/7,20:35,23:55
